id,name
3,Alameda - Alameda
5,Alameda - Alameda-Unincorporated
6,Alameda - Albany
43,Alameda - Berkeley
135,Alameda - Dublin
146,Alameda - Emeryville
167,Alameda - Fremont
191,Alameda - Hayward
261,Alameda - Livermore
338,Alameda - Newark
345,Alameda - Oakland
372,Alameda - Piedmont
381,Alameda - Pleasanton
447,Alameda - San Leandro
550,Alameda - Union City
9,Alpine - Alpine-Unincorporated
11,Amador - Amador City
606,Amador - Amador County Integrated Solid Waste Management Agency
13,Amador - Amador-Unincorporated
218,Amador - Ione
222,Amador - Jackson
384,Amador - Plymouth
521,Amador - Sutter Creek
46,Butte - Biggs
612,Butte - Butte County Regional Waste Management Authority
60,Butte - Butte-Unincorporated
80,Butte - Chico
183,Butte - Gridley
355,Butte - Oroville
364,Butte - Paradise
17,Calaveras - Angels Camp
622,Calaveras - Calaveras County Regional Agency
63,Calaveras - Calaveras-Unincorporated
95,Colusa - Colusa
603,Colusa - Colusa County Regional Agency
97,Colusa - Colusa-Unincorporated
577,Colusa - Williams
18,Contra Costa - Antioch
53,Contra Costa - Brentwood
624,Contra Costa - Central Contra Costa Solid Waste Authority (CCCSWA)
86,Contra Costa - Clayton
100,Contra Costa - Concord
617,Contra Costa - Contra Costa/Ironhouse/Oakley Regional Agency
102,Contra Costa - Contra Costa-Unincorporated
119,Contra Costa - Danville
140,Contra Costa - El Cerrito
194,Contra Costa - Hercules
240,Contra Costa - Lafayette
292,Contra Costa - Martinez
323,Contra Costa - Moraga
605,Contra Costa - Oakley
353,Contra Costa - Orinda
373,Contra Costa - Pinole
375,Contra Costa - Pittsburg
380,Contra Costa - Pleasant Hill
402,Contra Costa - Richmond
456,Contra Costa - San Pablo
458,Contra Costa - San Ramon
563,Contra Costa - Walnut Creek
568,Contra Costa - West Contra Costa Integrated Waste Management Authority
112,Del Norte - Crescent City
122,Del Norte - Del Norte Solid Waste Management Authority
124,Del Norte - Del Norte-Unincorporated
142,El Dorado - El Dorado-Unincorporated
379,El Dorado - Placerville
509,El Dorado - South Lake Tahoe
89,Fresno - Clovis
91,Fresno - Coalinga
158,Fresno - Firebaugh
166,Fresno - Fowler
168,Fresno - Fresno
170,Fresno - Fresno-Unincorporated
207,Fresno - Huron
223,Fresno - Kerman
230,Fresno - Kingsburg
298,Fresno - Mendota
350,Fresno - Orange Cove
366,Fresno - Parlier
400,Fresno - Reedley
441,Fresno - San Joaquin
460,Fresno - Sanger
484,Fresno - Selma
598,Glenn - Glenn County Waste Management Regional Agency
178,Glenn - Glenn-Unincorporated
354,Glenn - Orland
579,Glenn - Willows
21,Humboldt - Arcata
48,Humboldt - Blue Lake
151,Humboldt - Eureka
156,Humboldt - Ferndale
163,Humboldt - Fortuna
204,Humboldt - Humboldt-Unincorporated
404,Humboldt - Rio Dell
